topic_id,topic_name,cv_score,coherence_calculation_time,size,top_words,word_weights
-1,-1_hon_right_friend_gentleman,0.0,0.0,51857,"hon, right, friend, gentleman, government, would, house, people, work, deal","0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001"
0,0_rail_trains_passengers_franchise,0.8964657085710366,92.26781368255615,1477,"rail, trains, passengers, franchise, train, timetable, network, railway, line, coast","0.020, 0.017, 0.014, 0.012, 0.011, 0.010, 0.010, 0.009, 0.009, 0.008"
1,1_order_speaker_mr_deputy,0.5540207744610898,55.582523584365845,1018,"order, speaker, mr, deputy, madam, point, motion, house, statement, advise","0.028, 0.028, 0.015, 0.013, 0.012, 0.011, 0.006, 0.006, 0.005, 0.005"
2,2_homes_housing_planning_land,0.8066653925524749,56.44697546958923,991,"homes, housing, planning, land, affordable, developers, neighbourhood, belt, houses, build","0.018, 0.017, 0.014, 0.011, 0.009, 0.008, 0.008, 0.007, 0.007, 0.007"
3,3_referendum_brexit_deal_vote,0.8224705164016027,55.4612455368042,898,"referendum, brexit, deal, vote, voted, prime, leave, eu, union, european","0.006, 0.006, 0.006, 0.006, 0.005, 0.005, 0.004, 0.004, 0.004, 0.004"
4,4_northern_ireland_assembly_sinn,0.5045164053943287,56.24432611465454,838,"northern, ireland, assembly, sinn, fa, executive, stormont, in, decisions, veterans","0.020, 0.020, 0.009, 0.007, 0.007, 0.006, 0.006, 0.006, 0.005, 0.005"
5,5_police_policing_crime_officers,0.7355954478510125,56.474268436431885,830,"police, policing, crime, officers, settlement, merseyside, force, precept, funding, commissioner","0.031, 0.018, 0.016, 0.015, 0.008, 0.007, 0.007, 0.007, 0.007, 0.007"
6,6_border_ireland_northern_irish,0.7807501086774635,56.600670337677,788,"border, ireland, northern, irish, republic, customs, hard, belfast, agreement, kingdom","0.037, 0.029, 0.022, 0.021, 0.012, 0.011, 0.011, 0.010, 0.010, 0.007"
7,7_windrush_immigration_home_generation,0.7202393483243066,53.2180871963501,755,"windrush, immigration, home, generation, citizenship, hostile, illegal, deported, office, british","0.028, 0.020, 0.014, 0.014, 0.009, 0.008, 0.007, 0.007, 0.007, 0.006"
8,8_universal_credit_rollout_claimants,0.7372472544619393,54.532445192337036,734,"universal, credit, rollout, claimants, legacy, benefits, migration, rolled, claim, jobcentre","0.051, 0.048, 0.017, 0.015, 0.009, 0.009, 0.009, 0.008, 0.007, 0.007"
9,9_fishing_fisheries_fish_fishermen,0.9357457423097355,54.79451775550842,731,"fishing, fisheries, fish, fishermen, waters, coastal, quota, vessels, cfp, industry","0.039, 0.033, 0.022, 0.020, 0.018, 0.013, 0.011, 0.009, 0.009, 0.009"
10,10_russian_russia_putin_ukraine,0.9034791593862048,53.13764047622681,694,"russian, russia, putin, ukraine, russias, salisbury, russians, allies, crimea, treaty","0.035, 0.033, 0.013, 0.011, 0.010, 0.009, 0.009, 0.008, 0.008, 0.007"
11,11_scottish_scotland_snp_devolution,0.7513359316581659,54.53983950614929,683,"scottish, scotland, snp, devolution, independence, scotlands, parliament, powers, grab, referendum","0.021, 0.018, 0.016, 0.009, 0.009, 0.008, 0.008, 0.007, 0.006, 0.006"
12,12_syria_chemical_weapons_turkey,0.894074374517668,54.62287902832031,609,"syria, chemical, weapons, turkey, syrian, daesh, turkish, kurdish, iraq, assad","0.030, 0.022, 0.019, 0.018, 0.018, 0.015, 0.014, 0.013, 0.010, 0.010"
13,13_schools_school_teachers_pupil,0.8730617908732542,54.64854431152344,605,"schools, school, teachers, pupil, funding, pupils, formula, education, academies, primary","0.029, 0.018, 0.017, 0.016, 0.012, 0.011, 0.010, 0.008, 0.008, 0.007"
14,14_childcare_children_childrens_parents,0.7465660145991018,54.92637348175049,600,"childcare, children, childrens, parents, families, taxfree, child, vouchers, early, family","0.024, 0.013, 0.013, 0.010, 0.009, 0.008, 0.008, 0.007, 0.007, 0.006"
15,15_welsh_wales_cardiff_prosperity,0.6506717202223381,57.04436111450195,559,"welsh, wales, cardiff, prosperity, fund, assembly, shared, m4, devolution, devolved","0.034, 0.030, 0.008, 0.007, 0.005, 0.005, 0.005, 0.005, 0.005, 0.004"
16,16_councils_council_local_county,0.686000121598006,57.75528573989868,538,"councils, council, local, county, cuts, northamptonshire, funding, authorities, tax, unitary","0.021, 0.016, 0.010, 0.010, 0.008, 0.008, 0.008, 0.007, 0.006, 0.006"
17,17_rough_homelessness_sleeping_homeless,0.8660385367743275,54.542829751968384,495,"rough, homelessness, sleeping, homeless, sleepers, housing, accommodation, streets, reduction, 2027","0.038, 0.035, 0.032, 0.024, 0.013, 0.012, 0.010, 0.008, 0.005, 0.004"
18,18_pension_pensions_dashboard_autoenrolment,0.7926800330146453,55.51918005943298,492,"pension, pensions, dashboard, autoenrolment, retirement, schemes, pensioners, scheme, db, age","0.039, 0.028, 0.012, 0.012, 0.011, 0.009, 0.008, 0.007, 0.006, 0.006"
19,19_legal_aid_justice_courts,0.8018891892851624,55.0464563369751,485,"legal, aid, justice, courts, court, laspo, magistrates, tribunals, judges, criminal","0.023, 0.021, 0.015, 0.015, 0.014, 0.008, 0.008, 0.008, 0.007, 0.007"
