period,topic_id,cv_score,size,top_words,word_weights
2016,-1,0.0,42175,"the, to, that, and, of, in, we, is, will, for","0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002"
2016,0,0.6595604863241422,2597,"housing, homes, planning, homelessness, local, affordable, neighbourhood, rent, supported, buy","0.018, 0.010, 0.007, 0.006, 0.006, 0.005, 0.005, 0.005, 0.004, 0.004"
2016,1,0.8309387667728461,1679,"schools, school, education, grammar, teachers, pupils, academies, academy, children, funding","0.025, 0.016, 0.010, 0.010, 0.008, 0.008, 0.008, 0.007, 0.006, 0.006"
2016,2,0.5388296703254571,1247,"referendum, european, union, eu, article, leave, vote, 50, europe, voted","0.011, 0.008, 0.008, 0.007, 0.007, 0.005, 0.005, 0.005, 0.004, 0.004"
2016,3,0.8534626969537902,1193,"energy, climate, carbon, wind, fuel, renewables, renewable, onshore, change, electricity","0.021, 0.011, 0.010, 0.009, 0.007, 0.007, 0.006, 0.006, 0.006, 0.006"
2016,4,0.8477911621681193,1102,"russia, syria, aleppo, assad, daesh, russian, nato, humanitarian, regime, syrian","0.018, 0.017, 0.012, 0.012, 0.011, 0.010, 0.009, 0.008, 0.007, 0.007"
2016,5,0.7449352018236587,1038,"nhs, hospital, care, health, hospitals, patients, ambulance, services, trust, service","0.015, 0.012, 0.007, 0.007, 0.007, 0.006, 0.006, 0.005, 0.005, 0.004"
2016,6,0.8063994891827558,1014,"pension, women, pensions, age, retirement, waspi, state, pensioners, changes, born","0.028, 0.014, 0.014, 0.011, 0.007, 0.007, 0.007, 0.006, 0.006, 0.006"
2016,7,0.2993738466458261,994,"scotland, scottish, snp, kingdom, united, parliament, powers, referendum, independence, union","0.023, 0.020, 0.008, 0.007, 0.006, 0.006, 0.005, 0.005, 0.005, 0.005"
2016,8,0.6352212737842171,971,"disabled, disability, work, employment, esa, people, pip, disabilities, support, paper","0.022, 0.014, 0.009, 0.009, 0.009, 0.008, 0.008, 0.008, 0.006, 0.005"
2016,9,0.724764545386511,872,"bbc, charter, licence, diversity, fee, radio, channel, broadcasting, editorial, ofcom","0.049, 0.012, 0.008, 0.008, 0.007, 0.007, 0.006, 0.006, 0.005, 0.005"
2016,10,0.5477964572848607,854,"steel, industry, tata, chinese, dumping, china, talbot, british, port, procurement","0.042, 0.017, 0.011, 0.008, 0.007, 0.007, 0.007, 0.006, 0.006, 0.005"
2016,11,0.8090738310506245,763,"prison, prisons, prisoners, officers, offenders, staff, rehabilitation, governors, justice, reform","0.039, 0.030, 0.019, 0.012, 0.008, 0.007, 0.006, 0.006, 0.006, 0.005"
