model_id,topic_id,cv_score,size,top_words,word_weights
minilm_model,-1,,37689,"the, that, to, and, of, we, is, hon, this, for","0.0012, 0.0012, 0.0012, 0.0011, 0.0011, 0.0011, 0.0011, 0.0011, 0.0011, 0.0011"
minilm_model,0,0.32457672636751017,2306,"you, we, hope, must, it, however, need, yes, there, know","0.0042, 0.0037, 0.0036, 0.0036, 0.0030, 0.0030, 0.0029, 0.0028, 0.0027, 0.0026"
minilm_model,1,0.7946876782882887,1869,"housing, homes, landlords, tenants, planning, affordable, properties, property, rented, build","0.0107, 0.0087, 0.0053, 0.0051, 0.0049, 0.0042, 0.0040, 0.0039, 0.0038, 0.0035"
minilm_model,2,0.8003530476807038,1771,"schools, school, education, teachers, funding, students, pupil, pupils, children, university","0.0148, 0.0103, 0.0095, 0.0063, 0.0059, 0.0056, 0.0050, 0.0050, 0.0037, 0.0034"
minilm_model,3,0.9056208367946363,1016,"rail, trains, passengers, timetable, train, network, railway, railways, line, franchise","0.0159, 0.0125, 0.0090, 0.0082, 0.0080, 0.0074, 0.0069, 0.0062, 0.0059, 0.0046"
minilm_model,4,0.7934467630255964,850,"universal, credit, roll, claimants, benefits, uc, work, arrears, system, jobcentre","0.0263, 0.0251, 0.0079, 0.0065, 0.0042, 0.0041, 0.0041, 0.0040, 0.0039, 0.0035"
minilm_model,5,0.9115165370061398,809,"fishing, fisheries, fishermen, fish, waters, coastal, common, industry, cfp, quota","0.0233, 0.0193, 0.0139, 0.0125, 0.0105, 0.0076, 0.0057, 0.0056, 0.0053, 0.0046"
minilm_model,6,0.6510084171428198,551,"ireland, northern, assembly, sinn, executive, fa, stormont, decisions, devolved, parties","0.0153, 0.0151, 0.0077, 0.0066, 0.0066, 0.0063, 0.0051, 0.0047, 0.0046, 0.0040"
minilm_model,7,0.8189061123247958,543,"russia, russian, putin, ukraine, russians, salisbury, crimea, nerve, allies, europe","0.0210, 0.0205, 0.0070, 0.0064, 0.0050, 0.0046, 0.0042, 0.0041, 0.0035, 0.0034"
minilm_model,8,0.7101173142185779,499,"legal, justice, aid, court, courts, magistrates, barristers, criminal, bar, laspo","0.0124, 0.0112, 0.0111, 0.0084, 0.0079, 0.0053, 0.0049, 0.0048, 0.0046, 0.0043"
minilm_model,9,0.7714349999025661,486,"police, policing, officers, crime, funding, settlement, force, precept, cuts, commissioner","0.0250, 0.0124, 0.0110, 0.0091, 0.0057, 0.0057, 0.0054, 0.0049, 0.0049, 0.0048"
minilm_model,10,0.40760275534120627,484,"pension, pensions, austerity, pay, enrolment, auto, pensioners, dashboard, sector, cuts","0.0134, 0.0105, 0.0090, 0.0054, 0.0044, 0.0041, 0.0039, 0.0034, 0.0032, 0.0032"
minilm_model,11,0.8835281386477142,482,"syria, chemical, weapons, syrian, assad, humanitarian, regime, daesh, civilians, iraq","0.0205, 0.0170, 0.0148, 0.0126, 0.0092, 0.0083, 0.0082, 0.0067, 0.0060, 0.0049"
minilm_model,12,0.8689951505948738,447,"cancer, breast, screening, cancers, treatment, diagnosis, survival, blood, patients, radiotherapy","0.0375, 0.0116, 0.0101, 0.0084, 0.0079, 0.0073, 0.0070, 0.0064, 0.0058, 0.0053"
minilm_model,13,0.8081323983395168,443,"victims, domestic, abuse, violence, victim, sexual, criminal, crime, justice, rape","0.0182, 0.0120, 0.0110, 0.0070, 0.0066, 0.0056, 0.0043, 0.0043, 0.0041, 0.0040"
minilm_model,14,0.8084127032074091,436,"scottish, scotland, devolution, snp, parliament, consent, tories, independence, sewel, devolved","0.0137, 0.0108, 0.0076, 0.0066, 0.0066, 0.0046, 0.0042, 0.0042, 0.0040, 0.0034"
minilm_model,15,0.8867145412307671,432,"farmers, farming, food, agricultural, agriculture, production, farm, environment, farms, environmental","0.0214, 0.0134, 0.0126, 0.0125, 0.0122, 0.0063, 0.0053, 0.0048, 0.0047, 0.0045"
minilm_model,16,0.5940349012510737,420,"member, friend, south, give, north, john, east, way, west, friends","0.0188, 0.0088, 0.0076, 0.0069, 0.0068, 0.0064, 0.0060, 0.0055, 0.0053, 0.0050"
minilm_model,17,0.7189631880418242,409,"citizens, eu, rights, nationals, status, settled, citizenship, living, european, stay","0.0159, 0.0106, 0.0078, 0.0073, 0.0069, 0.0067, 0.0054, 0.0047, 0.0043, 0.0042"
minilm_model,18,0.8423878454641975,382,"homelessness, rough, sleeping, homeless, sleepers, housing, streets, reduction, accommodation, street","0.0294, 0.0266, 0.0221, 0.0175, 0.0092, 0.0056, 0.0052, 0.0051, 0.0050, 0.0036"
minilm_model,19,0.7469309478489194,382,"backstop, ireland, agreement, withdrawal, arrangement, northern, temporary, relationship, border, period","0.0413, 0.0069, 0.0067, 0.0064, 0.0060, 0.0060, 0.0058, 0.0053, 0.0050, 0.0044"
