model_id,topic_id,cv_score,size,top_words,word_weights
mpnet_model,-1,,34752,"the, that, to, we, will, hon, of, is, and, he","0.0012, 0.0012, 0.0012, 0.0012, 0.0012, 0.0012, 0.0011, 0.0011, 0.0011, 0.0011"
mpnet_model,0,0.30306281263569274,1579,"we, must, you, however, there, yes, need, briefly, it, know","0.0041, 0.0038, 0.0035, 0.0033, 0.0032, 0.0031, 0.0030, 0.0030, 0.0030, 0.0030"
mpnet_model,1,0.9056208367946365,1414,"rail, trains, passengers, franchise, railway, train, network, timetable, railways, line","0.0140, 0.0111, 0.0085, 0.0082, 0.0071, 0.0070, 0.0069, 0.0065, 0.0059, 0.0059"
mpnet_model,2,0.7617616389568008,1041,"scottish, scotland, snp, devolution, parliament, powers, devolved, independence, grab, union","0.0119, 0.0104, 0.0078, 0.0065, 0.0053, 0.0048, 0.0046, 0.0038, 0.0035, 0.0031"
mpnet_model,3,0.7914177327671635,1014,"nhs, hospital, health, care, patients, winter, hospitals, healthcare, service, trust","0.0140, 0.0081, 0.0057, 0.0054, 0.0051, 0.0045, 0.0040, 0.0033, 0.0032, 0.0030"
mpnet_model,4,0.7508489207305695,938,"windrush, generation, immigration, home, office, illegal, here, hostile, citizens, caribbean","0.0161, 0.0092, 0.0085, 0.0084, 0.0045, 0.0043, 0.0040, 0.0034, 0.0032, 0.0031"
mpnet_model,5,0.7714349999025661,891,"police, policing, officers, crime, settlement, funding, force, commissioner, cuts, precept","0.0244, 0.0125, 0.0107, 0.0106, 0.0053, 0.0050, 0.0050, 0.0046, 0.0044, 0.0043"
mpnet_model,6,0.8845190703261473,819,"schools, school, teachers, funding, education, pupil, pupils, formula, academy, academies","0.0215, 0.0145, 0.0095, 0.0075, 0.0075, 0.0073, 0.0061, 0.0052, 0.0049, 0.0046"
mpnet_model,7,0.7630284222252125,722,"universal, credit, roll, claimants, uc, benefits, work, system, jobcentre, nao","0.0257, 0.0240, 0.0084, 0.0067, 0.0053, 0.0045, 0.0042, 0.0041, 0.0038, 0.0035"
mpnet_model,8,0.8653022835214305,719,"russian, russia, salisbury, putin, ukraine, nerve, russians, attack, agent, allies","0.0183, 0.0182, 0.0070, 0.0064, 0.0059, 0.0052, 0.0044, 0.0043, 0.0042, 0.0041"
mpnet_model,9,0.7980554780325723,676,"border, ireland, northern, irish, republic, customs, agreement, hard, belfast, between","0.0220, 0.0169, 0.0112, 0.0111, 0.0080, 0.0067, 0.0063, 0.0062, 0.0050, 0.0048"
mpnet_model,10,0.8835281386477142,659,"syria, chemical, weapons, syrian, assad, humanitarian, regime, civilians, daesh, iraq","0.0164, 0.0146, 0.0127, 0.0097, 0.0089, 0.0084, 0.0070, 0.0066, 0.0065, 0.0049"
mpnet_model,11,0.658345547067488,595,"ireland, northern, assembly, sinn, fa, executive, mlas, parties, decisions, stormont","0.0140, 0.0140, 0.0089, 0.0070, 0.0067, 0.0061, 0.0056, 0.0049, 0.0049, 0.0049"
mpnet_model,12,0.7272046815949528,511,"students, education, university, student, engineering, universities, colleges, fe, higher, stem","0.0134, 0.0122, 0.0097, 0.0093, 0.0072, 0.0071, 0.0070, 0.0067, 0.0065, 0.0064"
mpnet_model,13,0.790394579893514,502,"prison, prisons, prisoners, officers, offenders, hmp, reoffending, employment, governors, prisoner","0.0329, 0.0216, 0.0154, 0.0084, 0.0065, 0.0063, 0.0061, 0.0041, 0.0040, 0.0040"
mpnet_model,14,0.8478334475223643,497,"gaza, israel, israeli, hamas, palestinian, palestinians, peace, palestine, ahmar, jerusalem","0.0251, 0.0206, 0.0142, 0.0134, 0.0130, 0.0087, 0.0066, 0.0059, 0.0045, 0.0045"
mpnet_model,15,0.7052142930186795,482,"councils, council, local, cuts, funding, authorities, services, spending, tax, county","0.0126, 0.0106, 0.0094, 0.0065, 0.0065, 0.0054, 0.0052, 0.0042, 0.0042, 0.0039"
mpnet_model,16,0.7587384621722315,472,"homes, housing, affordable, empty, properties, buy, building, houses, build, ownership","0.0168, 0.0165, 0.0101, 0.0081, 0.0060, 0.0057, 0.0050, 0.0049, 0.0047, 0.0045"
mpnet_model,17,0.7864956599480013,470,"retail, rates, businesses, business, high, streets, street, small, retailers, relief","0.0136, 0.0118, 0.0103, 0.0097, 0.0097, 0.0096, 0.0086, 0.0085, 0.0082, 0.0064"
mpnet_model,18,0.7656034674464156,469,"citizens, eu, citizenship, status, immigration, settled, nationals, rights, movement, living","0.0152, 0.0102, 0.0083, 0.0078, 0.0076, 0.0071, 0.0066, 0.0059, 0.0049, 0.0046"
mpnet_model,19,0.8531989237688753,436,"homelessness, rough, sleeping, homeless, sleepers, housing, accommodation, streets, reduction, temporary","0.0264, 0.0248, 0.0205, 0.0172, 0.0090, 0.0067, 0.0065, 0.0048, 0.0043, 0.0037"
