topic_id,topic_name,size
-1,-1_hon_right_friend_government,41592
0,0_rail_trains_passengers_network,2216
1,1_schools_school_teachers_pupils,991
2,2_police_policing_crime_officers,913
3,3_homes_housing_planning_land,816
4,4_speaker_order_mr_deputy,787
5,5_fishing_fisheries_fish_fishermen,735
6,6_farmers_food_agricultural_farming,691
7,7_border_ireland_irish_northern,592
8,8_universal_credit_rollout_claimants,574
9,9_scottish_scotland_snp_devolution,546
10,10_yemen_saudi_arabia_humanitarian,490
11,11_windrush_generation_immigration_home,488
12,12_legal_aid_justice_courts,464
13,13_cancer_breast_cancers_screening,445
14,14_pension_pensions_retirement_autoenrolment,419
15,15_care_social_carers_adult,399
16,16_homelessness_rough_sleeping_homeless,370
17,17_prison_prisons_prisoners_officers,367
18,18_rohingya_burma_bangladesh_burmese,366
19,19_nhs_gps_gp_hospital,363
20,20_childcare_childrens_children_taxfree,362
21,21_northern_ireland_assembly_executive,355
22,22_councils_council_local_county,348
23,23_give_way_minister_former,340
24,24_plastic_plastics_recycling_packaging,340
25,25_russian_russia_ukraine_putin,337
26,26_landlords_tenants_landlord_tenant,331
27,27_referendum_voted_vote_leave,316
28,28_backstop_temporary_withdrawal_agreement,307
29,29_claims_whiplash_insurance_injury,306
30,30_disabled_disability_disabilities_employment,303
31,31_brexit_referendum_deal_voted,290
32,32_bus_transport_disabled_buses,287
33,33_welsh_wales_cardiff_m4,281
34,34_carillion_contracts_carillions_collapse,278
35,35_apprenticeships_apprenticeship_apprentices_levy,275
36,36_energy_cap_ofgem_customers,271
37,37_citizens_eu_nationals_status,246
38,38_heathrow_airport_airports_runway,243
39,39_nato_defence_summit_alliance,236
40,40_refugees_asylum_refugee_reunion,236
41,41_religious_persecution_pakistan_religion,233
42,42_tax_corporation_avoidance_taxation,225
43,43_road_driving_safety_roads,220
44,44_nursing_nurses_nurse_bursary,220
45,45_nuclear_reactors_wylfa_hinkley,217
46,46_drug_drugs_cannabis_substances,210
47,47_lady_give_way_hon,203
48,48_gaza_israel_hamas_israeli,198
49,49_autism_autistic_spectrum_adults,196
50,50_ivory_elephants_wildlife_species,193
51,51_immigration_white_migration_paper,187
52,52_broadband_coverage_fibre_superfast,186
53,53_cladding_fire_grenfell_tower,180
54,54_prime_deal_vote_minister,173
55,55_meals_poverty_school_free,172
56,56_domestic_abuse_violence_rape,167
57,57_aid_dfid_development_humanitarian,166
58,58_customs_trade_eu_goods,164
59,59_air_pollution_quality_particulate,162
60,60_shipbuilding_ships_fleet_shipyards,162
61,61_abortion_ireland_northern_women,157
62,62_give_way_friend_hon,157
63,63_obesity_drinks_sugar_advertising,156
64,64_women_centenary_womens_suffrage,155
65,65_friend_makes_point_hon,153
66,66_animals_animal_fur_welfare,152
67,67_veterans_armed_forces_ireland,148
68,68_hospital_winter_nhs_hospitals,148
69,69_pip_dla_assessments_claimants,144
70,70_gender_gap_pay_bbc,141
71,71_member_spoke_debate_pleasure,141
72,72_armed_army_recruitment_forces,136
73,73_gambling_betting_machines_terminals,132
74,74_customs_union_trade_arrangement,132
75,75_dog_dogs_pet_puppies,132
76,76_antisemitism_jewish_holocaust_jews,132
77,77_departmental_responsibilities_statement_make,130
78,78_sport_sporting_games_sports,129
79,79_rbs_lloyds_banks_banking,129
80,80_mental_health_young_adolescent,128
81,81_nan___,127
82,82_parking_car_park_fines,126
83,83_cybersecurity_cyberattacks_cyber_cyberspace,125
84,84_pornography_online_internet_pornographic,123
85,85_bills_resolution_resolutions_private,123
86,86_defence_capability_capabilities_threats,120
87,87_trees_woodland_timber_forestry,118
88,88_war_armistice_memorial_memorials,117
89,89_organ_donation_organs_transplant,117
90,90_slavery_modern_chains_exploitation,116
