topic_id,topic_name,size
-1,-1_hon_right_government_would,350601
0,0_schools_school_children_education,18217
1,1_nhs_hospital_patients_care,12137
2,2_rail_trains_train_line,10133
3,3_police_policing_officers_crime,6881
4,4_housing_rents_tenants_benefit,12090
5,5_afghanistan_afghan_taliban_troops,2903
6,6_energy_gas_carbon_storage,9278
7,7_speaker_order_mr_point,5499
8,8_backbench_committee_house_leader,2296
9,9_immigration_migration_detention_asylum,4795
10,10_maiden_speech_constituency_predecessor,2330
11,11_give_way_gentleman_hon,3428
12,12_prison_prisoners_offenders_sentences,5725
13,13_deficit_budget_chancellor_debt,1847
14,14_gaza_israel_israeli_hamas,4160
15,15_pension_pensioners_pensions_retirement,5256
16,16_deficit_debt_fiscal_borrowing,1730
17,17_apprenticeships_apprenticeship_skills_training,3656
18,18_committee_house_parliament_select,1761
19,19_alcohol_pubs_pub_beer,2018
20,20_post_mail_royal_offices,1862
21,21_rape_anonymity_defendants_victims,1076
22,22_vat_increase_charities_rise,1037
23,23_irish_ireland_loan_euro,272
24,24_policyholders_equitable_compensation_payments,885
25,25_system_proportional_vote_av,390
26,26_give_way_minister_ace,3144
27,27_regional_partnerships_enterprise_rdas,1258
28,28_friend_give_hon_way,1584
29,29_welsh_wales_grand_assembly,3271
30,30_nuclear_weapons_trident_deterrent,2450
31,31_unitary_norwich_exeter_mayors,323
32,32_dairy_farmers_farming_food,4064
33,33_treaty_european_referendum_lisbon,1777
34,34_spatial_planning_local_localism,1848
35,35_registration_register_electoral_registered,2115
36,36_gentleman_answer_give_shall,1935
37,37_trafficking_trafficked_human_slavery,1367
38,38_bbc_radio_digital_fee,1686
39,39_give_way_member_shall,1014
40,40_cancer_screening_breast_prostate,2413
41,41_scottish_scotland_devolution_parliament,6849
42,42_conservative_liberal_democrats_party,690
43,43_nuclear_power_energy_stations,870
44,44_give_way_gentleman_right,1244
45,45_id_cards_identity_card,162
46,46_football_clubs_club_supporters,1046
47,47_tax_avoidance_evasion_corporation,3546
48,48_cuts_cut_labour_billion,183
49,49_fishing_fishermen_fisheries_fish,2848
50,50_wind_offshore_onshore_energy,1012
51,51_drugs_drug_mephedrone_highs,1650
52,52_cuts_councils_council_local,2286
53,53_sport_sports_school_partnerships,1046
54,54_iran_iranian_nuclear_sanctions,2192
55,55_northern_ireland_devolution_peace,8822
56,56_zimbabwe_africa_land_mugabe,562
57,57_supermarkets_suppliers_ombudsman_grocery,691
58,58_disabled_disability_disabilities_dla,3808
59,59_copyright_google_internet_data,609
60,60_charities_voluntary_organisations_sector,1019
61,61_aid_dfid_lesotho_development,1194
62,62_dementia_care_alzheimers_carers,625
63,63_give_way_friend_hon,1730
64,64_nan___,1062
65,65_court_magistrates_courts_goole,587
66,66_eu_budget_european_rebate,257
67,67_gentleman_gentlemans_hon_house,944
68,68_climate_copenhagen_cancun_emissions,1062
69,69_petition_petitioners_declares_urges,1053
70,70_ipsa_mps_expenses_staff,313
71,71_clause_amendment_amendments_explanatory,943
72,72_lady_give_way_hon,1948
73,73_fire_rescue_firefighters_smoke,2794
74,74_firearms_gun_guns_shooting,451
75,75_pregnancy_grant_abortion_women,2470
76,76_dissent_indicated_objected_,735
77,77_battalion_died_regiment_corporal,462
78,78_protesters_protest_police_protests,176
79,79_yemen_yemeni_alqaeda_foreign,2404
80,80_salt_winter_weather_grit,127
81,81_flood_flooding_defences_insurance,2623
82,82_dna_database_convicted_arrested,278
83,83_waste_landfill_anaerobic_recycling,740
84,84_violence_domestic_women_victims,2011
85,85_northern_ireland_dissident_threat,164
86,86_youth_parliament_chamber_young,120
87,87_departmental_responsibilities_statement_make,1097
88,88_pleasure_congratulate_securing_member,1523
89,89_dogs_dog_pets_dangerous,2314
90,90_fsa_ifas_advisers_rdr,338
91,91_parliaments_fiveyear_five_term,132
92,92_broadband_superfast_rural_megabits,2696
93,93_unemployment_wales_employment_ayrshire,581
94,94_young_unemployment_youth_unemployed,1536
95,95_youth_young_voluntary_services,889
96,96_banks_banking_bank_regulation,3801
97,97_beg_pagea_linea_amendment,254
98,98_assent_indicated_nodded_con,711
99,99_defence_armed_forces_strategic,1339
100,100_mental_suicide_health_selfharm,2651
101,101_sunbed_sunbeds_skin_salons,106
102,102_pedlars_bournemouth_bills_pedlar,371
103,103_trustees_organisations_social_trustee,429
104,104_saville_bloody_northern_ireland,326
105,105_church_commissioners_churches_worship,868
106,106_defence_strategic_review_security,591
107,107_elections_scottish_gould_referendum,72
108,108_planning_spatial_developers_local,571
109,109_scooters_mobility_scooter_accidents,1437
110,110_seats_wales_ross_skye,290
111,111_insurance_ipt_premiums_premium,337
112,112_manufacturing_industries_industry_manufacturers,2987
113,113_water_sewerage_ofwat_drainage,920
114,114_figures_figure_million_frozen,282
115,115_foreign_territories_commonwealth_overseas,604
116,116_state_give_secretary_way,701
117,117_sri_lanka_lankan_tamil,673
118,118_haiti_earthquake_rescue_caribbean,326
119,119_levy_corporation_banks_banking,513
120,120_maternity_midwives_maidstone_hospital,536
121,121_twelfth_cardy_nonairbrushed_stamina,1610
122,122_cyprus_turkish_turkey_cypriots,355
123,123_falkland_falklands_islands_argentina,359
124,124_elections_ireland_northern_assembly,60
125,125_hiv_hivpositive_aids_diagnosed,387
126,126_gypsy_travellers_traveller_gypsies,232
127,127_yes_oh_trepidation_,507
128,128_welsh_greatuncle_bridlington_wales,474
129,129_give_way_friend_right,797
130,130_pakistan_floods_humanitarian_relief,106
131,131_park_owners_site_owner,602
132,132_airport_airports_security_scanners,127
133,133_redundancy_civil_servants_redundant,481
134,134_munitions_cluster_convention_weapons,55
135,135_petrol_fuel_voa_litre,833
136,136_carers_caring_care_carer,931
137,137_navy_carriers_carrier_rfa,1111
138,138_olympics_olympic_games_2012,288
139,139_arrest_warrant_prosecution_extradition,1254
140,140_benchers_front_bencher_bench,144
141,141_bus_fares_concessionary_operators,1430
142,142_progress_give_shall_make,435
143,143_diabetes_type_insulin_disease,1025
144,144_crossing_tolls_dartford_bridge,570
145,145_welfare_benefits_work_benefit,765
146,146_forecasts_forecast_obr_forecasting,214
147,147_seaside_towns_tourism_coastal,141
148,148_confidence_dissolution_dissolve_vote,198
149,149_speaker_order_mr_point,910
150,150_china_chinese_tibet_akmal,719
151,151_madam_speaker_deputy_thank,496
152,152_carriers_aircraft_carrier_navy,209
153,153_green_bank_investment_sales,364
154,154_smoking_ban_tobacco_smoke,955
155,155_rights_human_convention_european,1432
156,156_tb_bovine_badger_tuberculosis,1267
157,157_forgemasters_sheffield_loan_honeyman,48
158,158_iraq_christians_iraqi_kurdistan,4596
159,159_fraud_sfo_scams_bribery,593
160,160_lottery_distributors_big_fund,172
161,161_parking_car_clamping_clampers,1236
162,162_give_way_sorry_midsentence,465
163,163_cold_weather_winter_payments,192
164,164_pleural_plaques_asbestos_mesothelioma,260
165,165_holocaust_memorial_jewish_jews,868
166,166_torture_intelligence_guantanamo_mohamed,341
167,167_lending_banks_businesses_small,213
168,168_libel_defamation_publication_law,402
169,169_science_scientific_research_innovation,301
170,170_woodland_forestry_forest_biodiversity,922
171,171_intervention_interventions_take_okay,597
172,172_compliance_substantial_proof_232b,59
173,173_museum_wedgwood_museums_chessmen,279
174,174_castling_midperoration_poacher_spatchcocked,151
175,175_airways_ba_strike_dispute,164
176,176_blood_tissue_cord_consent,937
177,177_hepatitis_blood_infected_haemophilia,478
178,178_raf_marham_lossiemouth_moray,333
179,179_metropolitan_phone_investigation_evidence,497
180,180_tourism_leisure_daylight_tourist,378
181,181_deepwater_drilling_oil_spill,666
182,182_athan_st_training_defence,166
183,183_leeds_midlands_region_coventry,173
184,184_terrorist_freezing_terrorism_assetfreezing,39
185,185_freeze_council_tax_councils,328
186,186_mental_veterans_health_stress,227
187,187_elections_postal_referendum_vote,107
188,188_bishops_church_religious_bishop,1300
189,189_games_video_relief_industry,69
190,190_polling_electoral_queues_elections,166
191,191_bribery_corruption_bribe_bill,234
192,192_clocks_daylight_hours_hour,88
193,193_colombia_colombian_human_trade,462
194,194_intervene_intervention_gentleman_gentlemans,181
195,195_burma_aung_suu_san,1120
196,196_terrorism_terrorist_threat_counterterrorism,1076
197,197_transport_traffic_road_bus,220
198,198_lady_give_way_right,205
199,199_veterans_personnel_armed_service,2055
200,200_jubilee_diamond_festival_celebrate,197
201,201_lorries_road_charges_motoring,276
202,202_coalfield_mining_coal_coalfields,414
203,203_scrutiny_act_councils_lga,215
204,204_eurozone_euro_mechanism_currency,280
205,205_consultation_condemnation_gentleman_write,381
206,206_inequality_poverty_rich_income,1084
207,207_unions_pcs_negotiations_poa,765
208,208_audit_auditors_commission_auditor,98
209,209_consultation_responses_consulted_consultations,276
210,210_thursday_commencing_tuesday_followed,328
211,211_manufacturing_sheffield_innovation_industry,838
212,212_cctv_cameras_crime_camera,145
