topic_id,cv_score,size,top_words,word_weights
-1,0.0,53885,"the, that, to, of, and, we, in, will, is, for","0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002"
0,0.8419471940932071,1625,"rail, trains, passengers, line, network, franchise, train, railway, timetable, hs2","0.018, 0.012, 0.010, 0.008, 0.008, 0.008, 0.008, 0.007, 0.007, 0.006"
1,0.8619984997506658,906,"fishing, fisheries, fishermen, fish, waters, coastal, industry, quota, common, vessels","0.027, 0.021, 0.015, 0.014, 0.012, 0.008, 0.007, 0.006, 0.006, 0.006"
2,0.8268336632101462,859,"bank, banking, banks, rbs, post, branch, branches, closures, cash, customers","0.018, 0.015, 0.014, 0.012, 0.009, 0.009, 0.008, 0.007, 0.006, 0.006"
3,0.6371106803886466,777,"disabled, pip, disability, disabilities, people, assessment, employment, work, esa, assessments","0.023, 0.016, 0.014, 0.009, 0.007, 0.006, 0.005, 0.005, 0.005, 0.005"
4,0.3961217860335275,775,"scottish, scotland, snp, parliament, devolution, powers, independence, devolved, grab, kingdom","0.019, 0.018, 0.011, 0.010, 0.009, 0.007, 0.006, 0.005, 0.005, 0.005"
5,0.6632187543193864,773,"police, crime, policing, officers, funding, settlement, cuts, force, million, forces","0.034, 0.016, 0.015, 0.013, 0.007, 0.007, 0.006, 0.006, 0.005, 0.005"
6,0.8741777667457361,771,"schools, school, teachers, funding, education, pupils, pupil, academy, academies, formula","0.029, 0.019, 0.010, 0.010, 0.010, 0.009, 0.009, 0.007, 0.006, 0.006"
7,0.7273021320006894,758,"nhs, hospital, gp, patients, gps, care, ambulance, health, service, trust","0.017, 0.009, 0.008, 0.008, 0.007, 0.007, 0.006, 0.006, 0.005, 0.005"
8,0.7327362325262106,675,"council, councils, local, county, northamptonshire, authorities, funding, services, cuts, government","0.015, 0.014, 0.013, 0.008, 0.007, 0.007, 0.007, 0.006, 0.006, 0.005"
9,0.30921516403423355,657,"ireland, northern, assembly, executive, sinn, fã, decisions, mlas, parties, devolved","0.022, 0.022, 0.012, 0.008, 0.008, 0.008, 0.008, 0.006, 0.006, 0.005"
10,0.9144960997835885,651,"heathrow, airport, airports, noise, runway, expansion, flights, gatwick, aviation, nps","0.026, 0.023, 0.014, 0.013, 0.012, 0.011, 0.007, 0.007, 0.007, 0.007"
