topic_id,topic_name,coherence_score,size,top_words,word_weights
-1,-1_hon_right_government_would,0.0,347353,"hon, right, government, would, friend, gentleman, house, member, minister, bill","0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002"
0,0_schools_school_children_education,0.8317807338745533,12036,"schools, school, children, education, parents, child, students, academies, teachers, academy","0.013, 0.010, 0.009, 0.009, 0.007, 0.007, 0.007, 0.006, 0.005, 0.005"
4,4_housing_rents_tenants_benefit,0.8578635125382224,10610,"housing, rents, tenants, benefit, rent, homes, landlords, rented, social, affordable","0.032, 0.014, 0.013, 0.012, 0.012, 0.012, 0.012, 0.009, 0.008, 0.007"
2,2_rail_trains_train_line,0.8612077843193177,9700,"rail, trains, train, line, network, speed, highspeed, franchise, london, passengers","0.027, 0.018, 0.014, 0.013, 0.012, 0.010, 0.010, 0.010, 0.010, 0.009"
55,55_northern_ireland_devolution_peace,0.6468108006069853,8338,"northern, ireland, devolution, peace, agreement, unionist, justice, policing, assembly, parties","0.043, 0.041, 0.024, 0.013, 0.013, 0.012, 0.010, 0.010, 0.010, 0.008"
6,6_energy_gas_carbon_storage,0.9139045427398738,7444,"energy, gas, carbon, storage, coal, electricity, emissions, ccs, fuel, capture","0.029, 0.021, 0.017, 0.014, 0.013, 0.011, 0.011, 0.011, 0.010, 0.009"
3,3_police_policing_officers_crime,0.865002861933234,6726,"police, policing, officers, crime, commissioners, constables, forces, pcsos, constable, chief","0.035, 0.020, 0.018, 0.014, 0.008, 0.007, 0.007, 0.007, 0.007, 0.006"
41,41_scottish_scotland_devolution_parliament,0.7513292259748529,5863,"scottish, scotland, devolution, parliament, calman, settlement, kingdom, scots, snp, powers","0.075, 0.048, 0.017, 0.016, 0.010, 0.009, 0.008, 0.006, 0.006, 0.006"
1,1_nhs_hospital_patients_care,0.8902915668357444,5538,"nhs, hospital, patients, care, health, patient, gps, commissioning, gp, hospitals","0.018, 0.013, 0.013, 0.013, 0.012, 0.010, 0.009, 0.008, 0.007, 0.007"
7,7_speaker_order_mr_point,0.5394146564069792,5499,"speaker, order, mr, point, deputy, madam, house, statement, questions, yesterday","0.041, 0.035, 0.019, 0.015, 0.015, 0.010, 0.009, 0.008, 0.008, 0.005"
296,296_treaty_paragraph_european_eu,0.5450020515480246,5405,"treaty, paragraph, european, eu, taskforce, article, europe, eurozone, uniona, transitional","0.045, 0.027, 0.024, 0.023, 0.023, 0.019, 0.017, 0.017, 0.017, 0.015"
12,12_prison_prisoners_offenders_sentences,0.9210744797705518,4444,"prison, prisoners, offenders, sentences, reoffending, sentencing, justice, sentence, rehabilitation, prisons","0.049, 0.030, 0.027, 0.024, 0.020, 0.017, 0.015, 0.015, 0.015, 0.014"
14,14_gaza_israel_israeli_hamas,0.9374060998685894,4087,"gaza, israel, israeli, hamas, blockade, palestinian, israelis, palestinians, peace, international","0.048, 0.044, 0.028, 0.024, 0.015, 0.014, 0.013, 0.011, 0.011, 0.010"
15,15_pension_pensioners_pensions_retirement,0.832921885371715,3985,"pension, pensioners, pensions, retirement, age, earnings, basic, pensioner, cpi, rpi","0.054, 0.026, 0.022, 0.018, 0.018, 0.014, 0.011, 0.011, 0.009, 0.007"
11,11_give_way_gentleman_hon,0.26799185663557473,3428,"give, way, gentleman, hon, bobbing, concludes, oh, twice, generous, afternoon","0.200, 0.142, 0.136, 0.039, 0.004, 0.003, 0.003, 0.002, 0.002, 0.001"
96,96_banks_banking_bank_regulation,0.7823070952376835,3037,"banks, banking, bank, regulation, financial, derivatives, basel, crisis, markets, regulatory","0.032, 0.031, 0.021, 0.016, 0.016, 0.015, 0.012, 0.012, 0.012, 0.010"
26,26_give_way_minister_ace,0.29614984086019674,2989,"give, way, minister, ace, point, œmusta, œmaya, ah, disturbed, explain","0.240, 0.171, 0.127, 0.010, 0.010, 0.009, 0.008, 0.008, 0.007, 0.005"
29,29_welsh_wales_grand_assembly,0.6023395219981806,2918,"welsh, wales, grand, assembly, committee, referendum, devolution, powers, seats, discussions","0.077, 0.052, 0.041, 0.030, 0.013, 0.009, 0.009, 0.008, 0.008, 0.007"
49,49_fishing_fishermen_fisheries_fish,0.9621225975443414,2786,"fishing, fishermen, fisheries, fish, quota, fleet, stocks, cfp, marine, cod","0.047, 0.043, 0.042, 0.040, 0.021, 0.017, 0.017, 0.016, 0.015, 0.013"
17,17_apprenticeships_apprenticeship_skills_training,0.8536130304236671,2676,"apprenticeships, apprenticeship, skills, training, apprentices, young, employers, apprentice, colleges, learning","0.057, 0.029, 0.016, 0.016, 0.015, 0.012, 0.011, 0.008, 0.007, 0.006"
92,92_broadband_superfast_rural_megabits,0.7553692971980286,2648,"broadband, superfast, rural, megabits, pilots, areas, speeds, digital, access, roll","0.147, 0.065, 0.029, 0.024, 0.016, 0.015, 0.014, 0.013, 0.011, 0.011"
