topic_id,topic_name,cv_score,coherence_calculation_time,size,top_words,word_weights
-1,-1_hon_deal_right_house,0.0,0.0,3759,"hon, deal, right, house, would, friend, government, trade, minister, gentleman","0.007, 0.006, 0.006, 0.006, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005"
0,0_police_crime_policing_officers,0.6882917554012211,50.464415550231934,175,"police, crime, policing, officers, merseyside, antisocial, funding, behaviour, settlement, cuts","0.050, 0.030, 0.020, 0.020, 0.017, 0.016, 0.015, 0.014, 0.010, 0.010"
1,1_post_branch_bank_santander,0.8728307119122997,52.20933961868286,161,"post, branch, bank, santander, banking, banks, branches, closures, customers, office","0.043, 0.040, 0.038, 0.035, 0.035, 0.033, 0.027, 0.025, 0.025, 0.020"
2,2_nissan_automotive_honda_industry,0.7454226797228213,52.51711368560791,160,"nissan, automotive, honda, industry, car, brexit, swindon, sunderland, manufacturing, investment","0.033, 0.027, 0.024, 0.023, 0.021, 0.018, 0.018, 0.017, 0.016, 0.016"
3,3_daesh_syria_iraq_citizenship,0.6655823026953616,53.339558362960815,143,"daesh, syria, iraq, citizenship, british, terrorist, home, secretary, terrorism, foreign","0.036, 0.032, 0.026, 0.019, 0.019, 0.019, 0.018, 0.017, 0.015, 0.014"
4,4_prison_women_offenders_prisons,0.7933423913404132,52.49767804145813,129,"prison, women, offenders, prisons, prisoners, sentences, probation, recall, female, recalled","0.064, 0.036, 0.033, 0.032, 0.028, 0.026, 0.020, 0.018, 0.018, 0.017"
5,5_debate_members_minister_house,0.5259276527174556,54.23415493965149,126,"debate, members, minister, house, hon, thank, time, friend, member, bill","0.024, 0.013, 0.013, 0.011, 0.011, 0.010, 0.010, 0.010, 0.009, 0.008"
6,6_scotland_scottish_snp_whisky,0.5877789292265857,50.72606158256531,112,"scotland, scottish, snp, whisky, kingdom, united, scotch, immigration, prosperity, government","0.065, 0.049, 0.040, 0.020, 0.020, 0.018, 0.014, 0.013, 0.013, 0.013"
7,7_financial_legislation_instrument_eu,0.7275571747213634,50.63919997215271,102,"financial, legislation, instrument, eu, regulations, statutory, regulation, exit, si, securitisation","0.023, 0.022, 0.021, 0.020, 0.020, 0.016, 0.016, 0.015, 0.014, 0.013"
8,8_yes_intervention_give_progress,0.33760580852802696,51.50871825218201,102,"yes, intervention, give, progress, way, final, dont, briefly, oh, rubbish","0.144, 0.088, 0.061, 0.053, 0.050, 0.049, 0.045, 0.042, 0.042, 0.041"
9,9_animal_dog_dogs_animals,0.8728163010105365,50.28495407104492,100,"animal, dog, dogs, animals, welfare, meat, horses, tethering, horse, consumption","0.042, 0.042, 0.040, 0.038, 0.034, 0.027, 0.023, 0.018, 0.018, 0.016"
10,10_armed_forces_veterans_army,0.8148998891017156,48.42999196052551,98,"armed, forces, veterans, army, covenant, personnel, defence, military, recruitment, capita","0.066, 0.058, 0.031, 0.029, 0.023, 0.021, 0.019, 0.017, 0.016, 0.010"
11,11_nhs_hospital_health_plan,0.7020055818113973,48.68173956871033,90,"nhs, hospital, health, plan, patients, care, services, hospitals, st, helier","0.045, 0.029, 0.025, 0.020, 0.019, 0.018, 0.017, 0.017, 0.016, 0.015"
12,12_parents_sex_education_relationships,0.7269264792721009,50.981292724609375,88,"parents, sex, education, relationships, children, religious, schools, rse, guidance, school","0.039, 0.035, 0.033, 0.033, 0.028, 0.023, 0.023, 0.020, 0.016, 0.015"
13,13_rail_trains_gwr_train,0.8957924973847045,51.44050049781799,87,"rail, trains, gwr, train, line, network, passengers, railway, electrification, delays","0.040, 0.036, 0.026, 0.024, 0.023, 0.021, 0.018, 0.016, 0.015, 0.015"
14,14_sport_sports_football_club,0.886410252093218,50.12877154350281,86,"sport, sports, football, club, rugby, womens, league, sporting, cricket, cup","0.063, 0.031, 0.028, 0.019, 0.017, 0.016, 0.015, 0.015, 0.014, 0.014"
15,15_seaborne_contract_arklow_freight,0.7768518942140308,51.50918960571289,84,"seaborne, contract, arklow, freight, shipping, port, diligence, capacity, ramsgate, contracts","0.073, 0.051, 0.049, 0.041, 0.038, 0.033, 0.025, 0.024, 0.024, 0.021"
16,16_climate_carbon_change_emissions,0.6439719621860295,54.139737606048584,82,"climate, carbon, change, emissions, zero, green, net, energy, planet, 15a","0.057, 0.031, 0.029, 0.028, 0.015, 0.013, 0.013, 0.012, 0.012, 0.011"
17,17_antisemitism_jewish_party_holocaust,0.7286210551868078,52.140289068222046,80,"antisemitism, jewish, party, holocaust, labour, antisemitic, objects, jews, cultural, hate","0.038, 0.033, 0.024, 0.022, 0.019, 0.018, 0.016, 0.015, 0.009, 0.009"
18,18_gentleman_lady_adjournment_hon,0.44707181252415895,54.23870849609375,77,"gentleman, lady, adjournment, hon, issue, case, raises, tribute, write, committee","0.032, 0.021, 0.021, 0.020, 0.017, 0.014, 0.014, 0.013, 0.013, 0.013"
19,19_carrier_carriers_aircraft_defence,0.8878393584280799,51.957608222961426,74,"carrier, carriers, aircraft, defence, capability, navy, ships, royal, hms, strike","0.043, 0.030, 0.029, 0.026, 0.024, 0.024, 0.024, 0.019, 0.017, 0.017"
