topic_id,cv_score,size,top_words,word_weights
-1,0.0,145891,"the, that, to, of, and, will, we, hon, is, in","0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001"
0,0.8420212686293521,3460,"schools, school, teachers, pupils, formula, funding, education, pupil, grammar, academy","0.019, 0.013, 0.007, 0.007, 0.007, 0.007, 0.007, 0.006, 0.006, 0.005"
1,0.7030430619736757,2866,"housing, homes, planning, affordable, neighbourhood, land, buy, belt, built, local","0.016, 0.012, 0.008, 0.007, 0.006, 0.005, 0.005, 0.004, 0.004, 0.004"
2,0.704748677644963,2322,"disabled, disability, pip, disabilities, esa, employment, work, people, dla, assessment","0.018, 0.012, 0.011, 0.007, 0.006, 0.005, 0.004, 0.004, 0.004, 0.004"
3,0.1588010077125904,2255,"ireland, northern, border, irish, sinn, fã, assembly, republic, agreement, executive","0.020, 0.016, 0.009, 0.008, 0.006, 0.006, 0.005, 0.005, 0.005, 0.005"
4,0.7769925112606291,2195,"pension, pensions, women, waspi, age, retirement, pensioners, state, born, scheme","0.023, 0.012, 0.009, 0.008, 0.008, 0.006, 0.006, 0.004, 0.004, 0.004"
5,0.8456298560247258,2062,"refugees, asylum, refugee, children, unaccompanied, calais, seekers, dubs, family, reunion","0.015, 0.012, 0.009, 0.008, 0.007, 0.006, 0.005, 0.005, 0.005, 0.004"
6,0.7402077311086045,2053,"tax, avoidance, evasion, territories, hmrc, corporation, overseas, companies, laundering, taxes","0.019, 0.008, 0.006, 0.005, 0.005, 0.005, 0.005, 0.004, 0.004, 0.003"
7,0.8633686728263781,1817,"rail, trains, passengers, train, franchise, network, railway, line, timetable, railways","0.015, 0.013, 0.010, 0.009, 0.008, 0.008, 0.007, 0.006, 0.006, 0.005"
8,0.3536820510599378,1708,"scottish, scotland, snp, independence, powers, parliament, devolution, referendum, kingdom, devolved","0.014, 0.014, 0.009, 0.006, 0.006, 0.005, 0.005, 0.005, 0.005, 0.004"
9,0.7160995244853138,1685,"police, policing, crime, officers, force, forces, funding, commissioner, precept, cuts","0.027, 0.015, 0.012, 0.011, 0.005, 0.005, 0.005, 0.004, 0.004, 0.004"
10,0.8967925419144005,1682,"prison, prisons, prisoners, officers, offenders, reoffending, governors, probation, rehabilitation, hmp","0.030, 0.021, 0.015, 0.008, 0.007, 0.006, 0.005, 0.005, 0.005, 0.005"
11,0.9143990356138078,1574,"broadband, superfast, bt, fibre, mobile, rural, coverage, megabits, digital, speeds","0.028, 0.012, 0.010, 0.010, 0.008, 0.008, 0.007, 0.007, 0.006, 0.006"
12,0.8669004158671834,1355,"fishing, fisheries, fishermen, fish, waters, coastal, industry, quota, sea, bass","0.027, 0.020, 0.015, 0.014, 0.009, 0.006, 0.006, 0.006, 0.006, 0.006"
13,0.5757428823549784,1307,"trade, customs, free, union, agreements, deals, eu, agreement, tariffs, countries","0.024, 0.012, 0.010, 0.008, 0.008, 0.007, 0.007, 0.006, 0.005, 0.005"
14,0.854983382838012,1302,"electric, air, vehicles, diesel, charging, cars, emissions, pollution, quality, vehicle","0.017, 0.017, 0.017, 0.013, 0.011, 0.010, 0.010, 0.009, 0.008, 0.007"
15,0.7079539154309983,1280,"councils, council, local, devolution, county, rural, yorkshire, areas, authorities, settlement","0.012, 0.009, 0.008, 0.006, 0.005, 0.004, 0.004, 0.004, 0.004, 0.004"
