topic_id,cv_score,cnpmi_score,size,top_words,word_weights
0,0.6803718788497659,0.13169323051309295,548,"transport, rail, bus, network, line, railway, trains, services, hs2, north","0.0159, 0.0136, 0.0091, 0.0076, 0.0071, 0.0067, 0.0067, 0.0064, 0.0064, 0.0062"
1,0.549960921965745,0.017355670820661202,410,"referendum, election, brexit, deal, vote, voted, general, people, want, leave","0.0160, 0.0137, 0.0114, 0.0110, 0.0102, 0.0100, 0.0089, 0.0076, 0.0074, 0.0074"
2,0.7268933389496065,0.11445497465771906,392,"climate, change, carbon, emissions, we, environment, net, environmental, zero, our","0.0209, 0.0110, 0.0100, 0.0083, 0.0076, 0.0073, 0.0072, 0.0070, 0.0069, 0.0065"
3,0.369444034926403,-0.06973690740578825,332,"you, speaker, your, me, mr, house, my, was, thank, have","0.0288, 0.0136, 0.0135, 0.0088, 0.0080, 0.0079, 0.0075, 0.0074, 0.0071, 0.0069"
4,0.5496291483583315,-0.026776359577686162,300,"ireland, northern, border, agreement, irish, checks, customs, friday, goods, consent","0.0306, 0.0265, 0.0217, 0.0145, 0.0124, 0.0123, 0.0122, 0.0103, 0.0097, 0.0085"
5,0.7061777892319393,0.03362995087656857,292,"housing, homes, rough, homelessness, sleeping, build, affordable, building, local, homeless","0.0269, 0.0196, 0.0119, 0.0112, 0.0107, 0.0097, 0.0095, 0.0090, 0.0083, 0.0076"
6,0.14057787884404513,-0.22568551439557927,272,"scotland, scottish, snp, union, prime, independence, brexit, referendum, this, minister","0.0317, 0.0186, 0.0146, 0.0092, 0.0087, 0.0070, 0.0070, 0.0069, 0.0067, 0.0066"
7,0.6151741783572665,0.10318074913200793,252,"schools, school, funding, education, college, teachers, pupil, dudley, per, students","0.0330, 0.0195, 0.0174, 0.0173, 0.0147, 0.0118, 0.0099, 0.0078, 0.0077, 0.0066"
8,0.2850283657350116,-0.3958542619733674,206,"ireland, northern, assembly, executive, stormont, sinn, fã, parties, state, secretary","0.0277, 0.0275, 0.0172, 0.0143, 0.0116, 0.0108, 0.0107, 0.0103, 0.0080, 0.0072"
9,0.4974619281470471,0.0339267659581067,203,"mental, health, care, people, suicide, pip, act, with, that, more","0.0364, 0.0258, 0.0087, 0.0078, 0.0075, 0.0068, 0.0066, 0.0057, 0.0056, 0.0055"
