topic_id,topic_name,size
-1,-1_hon_right_friend_government,30051
0,0_scottish_scotland_smith_snp,1271
1,1_energy_wind_climate_renewable,1268
2,2_ireland_northern_stormont_corporation,1257
3,3_housing_homes_affordable_buy,1191
4,4_syria_isil_iraq_daesh,1057
5,5_give_way_oh_progress,807
6,6_refugees_refugee_camps_syrian,683
7,7_broadband_superfast_bt_mobile,629
8,8_rail_trains_network_line,525
9,9_police_crime_policing_officers,513
10,10_mental_health_services_illness,513
11,11_women_gender_gap_womens,500
12,12_order_speaker_mr_point,439
13,13_unions_trade_union_strike,402
14,14_prison_prisons_prisoners_probation,390
15,15_eu_european_union_renegotiation,382
16,16_friend_hon_friends_right,362
17,17_nuclear_weapons_deterrent_trident,347
18,18_steel_industry_tata_chinese,345
19,19_flood_flooding_floods_water,339
20,20_electoral_register_registration_vote,338
21,21_banks_banking_bank_rbs,315
22,22_extremism_paris_attacks_tunisia,308
23,23_heathrow_airport_runway_noise,276
24,24_poverty_child_children_credits,270
25,25_give_way_minister_point,267
26,26_rights_human_convention_act,266
27,27_gaza_israel_palestinian_hamas,250
28,28_maiden_speech_predecessor_constituency,248
29,29_give_gentleman_way_hon,247
30,30_greek_greece_eurozone_euro,246
31,31_lady_give_way_hon,242
32,32_cancer_breast_drugs_patients,233
33,33_apprenticeships_apprenticeship_apprentices_employers,232
34,34_16_17yearolds_vote_age,227
35,35_unemployment_youth_fallen_longterm,225
36,36_junior_doctors_bma_contract,214
37,37_childcare_parents_hours_fouryearolds,204
38,38_mayor_devolution_manchester_elected,202
39,39_deficit_debt_chancellor_borrowing,201
40,40_hospital_nhs_care_patients,199
41,41_planning_neighbourhood_plan_local,197
42,42_russia_ukraine_russian_putin,193
43,43_cpr_aid_defibrillators_cardiac,183
44,44_iran_nuclear_irans_iranian,174
45,45_minister_ministers_transparency_ministerial,172
46,46_fire_firefighters_rescue_corby,172
47,47_communications_anderson_data_agencies,170
48,48_fishing_fisheries_fish_fishermen,163
49,49_gentleman_lady_intervention_gentlemans,161
50,50_devolution_mayor_manchester_local,155
51,51_immigration_illegal_migration_landlords,154
52,52_wage_minimum_living_credits,152
53,53_gas_fracking_shale_environmental,152
54,54_council_councils_local_authorities,148
55,55_pension_pensions_pensioners_scheme,147
56,56_court_courts_magistrates_justice,143
57,57_sexual_exploitation_child_abuse,138
58,58_detention_detained_yarls_immigration,136
59,59_nhs_privatisation_billion_pfi,134
