topic_id,topic_name,coherence_score,size,top_words,word_weights
-1,-1_deal_hon_house_right,0.0,36457,"deal, hon, house, right, would, friend, government, prime, minister, gentleman","0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002"
0,0_nhs_hospital_care_health,0.8395356151265114,1521,"nhs, hospital, care, health, patients, hospitals, nurses, social, healthcare, gps","0.016, 0.013, 0.012, 0.009, 0.007, 0.007, 0.006, 0.005, 0.005, 0.005"
1,1_rail_trains_transport_network,0.9010286983806026,1106,"rail, trains, transport, network, passengers, hs2, railway, line, train, station","0.024, 0.015, 0.012, 0.012, 0.010, 0.010, 0.009, 0.009, 0.008, 0.008"
2,2_schools_school_pupils_funding,0.8320015202642919,1032,"schools, school, pupils, funding, teachers, pupil, education, special, educational, primary","0.027, 0.019, 0.012, 0.012, 0.012, 0.012, 0.011, 0.008, 0.008, 0.007"
3,3_order_speaker_mr_point,0.5600166232749795,1007,"order, speaker, mr, point, deputy, madam, motion, house, advise, vote","0.030, 0.028, 0.018, 0.013, 0.010, 0.009, 0.008, 0.007, 0.005, 0.005"
4,4_housing_homes_rough_sleeping,0.8222826273434647,778,"housing, homes, rough, sleeping, homelessness, homeless, affordable, rented, rent, planning","0.024, 0.019, 0.017, 0.015, 0.015, 0.012, 0.012, 0.008, 0.007, 0.007"
5,5_police_crime_knife_officers,0.8066070650033457,762,"police, crime, knife, officers, policing, violent, antisocial, violence, merseyside, behaviour","0.027, 0.021, 0.015, 0.013, 0.012, 0.008, 0.007, 0.007, 0.006, 0.006"
6,6_prison_prisons_probation_sentences,0.9012959350444116,761,"prison, prisons, probation, sentences, prisoners, offenders, reoffending, rehabilitation, justice, officers","0.038, 0.022, 0.020, 0.017, 0.015, 0.015, 0.012, 0.011, 0.010, 0.009"
7,7_brexit_vote_referendum_deal,0.7899532946361953,640,"brexit, vote, referendum, deal, prime, voted, leave, eu, european, union","0.007, 0.006, 0.006, 0.006, 0.006, 0.006, 0.005, 0.004, 0.004, 0.004"
8,8_armed_forces_veterans_personnel,0.8461127686270524,569,"armed, forces, veterans, personnel, marines, royal, army, defence, commando, recruitment","0.036, 0.030, 0.029, 0.019, 0.014, 0.013, 0.013, 0.009, 0.008, 0.008"
9,9_ireland_northern_assembly_stormont,0.589490459432079,565,"ireland, northern, assembly, stormont, sinn, fa, executive, in, belfast, parties","0.022, 0.022, 0.012, 0.010, 0.008, 0.008, 0.008, 0.007, 0.007, 0.007"
10,10_climate_emissions_change_carbon,0.7546258327950895,561,"climate, emissions, change, carbon, zero, net, 2050, target, emergency, energy","0.033, 0.016, 0.014, 0.014, 0.012, 0.011, 0.009, 0.008, 0.008, 0.007"
11,11_animals_animal_dogs_dog,0.9056988889459628,560,"animals, animal, dogs, dog, welfare, cats, hunting, wild, circuses, puppies","0.028, 0.027, 0.022, 0.019, 0.016, 0.013, 0.013, 0.012, 0.009, 0.009"
12,12_fire_grenfell_cladding_buildings,0.8841824713265758,469,"fire, grenfell, cladding, buildings, sprinklers, tower, blocks, safety, building, firefighters","0.042, 0.025, 0.025, 0.019, 0.014, 0.013, 0.013, 0.012, 0.012, 0.012"
13,13_universal_credit_claimants_legacy,0.7132344680463099,469,"universal, credit, claimants, legacy, benefits, payments, payment, migration, fiveweek, claim","0.068, 0.060, 0.024, 0.014, 0.011, 0.011, 0.011, 0.011, 0.009, 0.009"
14,14_colleges_college_apprenticeships_education,0.8797728383283505,453,"colleges, college, apprenticeships, education, apprenticeship, students, skills, sixthform, fe, tlevels","0.030, 0.026, 0.018, 0.016, 0.014, 0.014, 0.014, 0.013, 0.013, 0.008"
15,15_saudi_yemen_arabia_arms,0.9090842578669538,402,"saudi, yemen, arabia, arms, humanitarian, conflict, un, peace, houthis, yemeni","0.042, 0.041, 0.031, 0.015, 0.014, 0.012, 0.009, 0.008, 0.007, 0.007"
16,16_border_ireland_northern_irish,0.7648903669132168,369,"border, ireland, northern, irish, friday, agreement, customs, checks, republic, belfast","0.036, 0.031, 0.026, 0.022, 0.017, 0.014, 0.014, 0.014, 0.013, 0.010"
17,17_pip_disabled_disability_assessments,0.8001517188514488,367,"pip, disabled, disability, assessments, assessment, disabilities, appeal, dla, claimants, conditions","0.025, 0.023, 0.021, 0.014, 0.014, 0.014, 0.009, 0.008, 0.008, 0.007"
18,18_iran_iranian_nazanin_irans,0.9061329542581991,347,"iran, iranian, nazanin, irans, tehran, foreign, zaghariratcliffe, dual, jcpoa, nuclear","0.057, 0.028, 0.026, 0.016, 0.015, 0.013, 0.012, 0.011, 0.010, 0.010"
19,19_speaker_member_parliament_house,0.5444585571607863,314,"speaker, member, parliament, house, mr, members, david, proxy, sir, speech","0.005, 0.005, 0.004, 0.004, 0.004, 0.004, 0.003, 0.003, 0.003, 0.003"
