topic_id,topic_name,size
-1,-1_hon_right_government_would,32135
0,0_schools_school_children_education,5011
1,1_nhs_hospital_patients_care,1338
2,2_rail_trains_train_line,891
3,3_police_policing_officers_crime,829
4,4_housing_rents_tenants_benefit,829
5,5_afghanistan_afghan_taliban_troops,644
6,6_energy_gas_carbon_storage,589
7,7_speaker_order_mr_point,582
8,8_backbench_committee_house_leader,569
9,9_immigration_migration_detention_asylum,485
10,10_maiden_speech_constituency_predecessor,467
11,11_give_way_gentleman_hon,453
12,12_prison_prisoners_offenders_sentences,401
13,13_deficit_budget_chancellor_debt,393
14,14_gaza_israel_israeli_hamas,381
15,15_pension_pensioners_pensions_retirement,359
16,16_deficit_debt_fiscal_borrowing,328
17,17_apprenticeships_apprenticeship_skills_training,321
18,18_committee_house_parliament_select,319
19,19_alcohol_pubs_pub_beer,309
20,20_post_mail_royal_offices,302
21,21_rape_anonymity_defendants_victims,293
22,22_vat_increase_charities_rise,278
23,23_irish_ireland_loan_euro,272
24,24_policyholders_equitable_compensation_payments,264
25,25_system_proportional_vote_av,241
26,26_give_way_minister_ace,240
27,27_regional_partnerships_enterprise_rdas,226
28,28_friend_give_hon_way,223
29,29_welsh_wales_grand_assembly,218
30,30_nuclear_weapons_trident_deterrent,214
31,31_unitary_norwich_exeter_mayors,214
32,32_dairy_farmers_farming_food,213
33,33_treaty_european_referendum_lisbon,196
34,34_spatial_planning_local_localism,196
35,35_registration_register_electoral_registered,191
36,36_gentleman_answer_give_shall,183
37,37_trafficking_trafficked_human_slavery,183
38,38_bbc_radio_digital_fee,177
39,39_give_way_member_shall,177
40,40_cancer_screening_breast_prostate,174
41,41_scottish_scotland_devolution_parliament,174
42,42_conservative_liberal_democrats_party,171
43,43_nuclear_power_energy_stations,166
44,44_give_way_gentleman_right,163
45,45_id_cards_identity_card,162
46,46_football_clubs_club_supporters,160
47,47_tax_avoidance_evasion_corporation,158
48,48_cuts_cut_labour_billion,158
49,49_fishing_fishermen_fisheries_fish,157
50,50_wind_offshore_onshore_energy,155
51,51_drugs_drug_mephedrone_highs,153
52,52_cuts_councils_council_local,152
53,53_sport_sports_school_partnerships,151
54,54_iran_iranian_nuclear_sanctions,147
55,55_northern_ireland_devolution_peace,139
56,56_zimbabwe_africa_land_mugabe,137
57,57_supermarkets_suppliers_ombudsman_grocery,132
58,58_disabled_disability_disabilities_dla,129
59,59_copyright_google_internet_data,127
60,60_charities_voluntary_organisations_sector,124
61,61_aid_dfid_lesotho_development,123
62,62_dementia_care_alzheimers_carers,120
63,63_give_way_friend_hon,120
64,64_nan___,120
65,65_court_magistrates_courts_goole,118
66,66_eu_budget_european_rebate,118
67,67_gentleman_gentlemans_hon_house,117
68,68_climate_copenhagen_cancun_emissions,114
69,69_petition_petitioners_declares_urges,114
70,70_ipsa_mps_expenses_staff,113
71,71_clause_amendment_amendments_explanatory,112
72,72_lady_give_way_hon,112
73,73_fire_rescue_firefighters_smoke,111
74,74_firearms_gun_guns_shooting,110
75,75_pregnancy_grant_abortion_women,109
76,76_dissent_indicated_objected_,107
77,77_battalion_died_regiment_corporal,107
78,78_protesters_protest_police_protests,106
79,79_yemen_yemeni_alqaeda_foreign,106
80,80_salt_winter_weather_grit,105
81,81_flood_flooding_defences_insurance,103
82,82_dna_database_convicted_arrested,103
83,83_waste_landfill_anaerobic_recycling,102
84,84_violence_domestic_women_victims,101
85,85_northern_ireland_dissident_threat,99
86,86_youth_parliament_chamber_young,98
87,87_departmental_responsibilities_statement_make,96
88,88_pleasure_congratulate_securing_member,96
89,89_dogs_dog_pets_dangerous,93
90,90_fsa_ifas_advisers_rdr,91
91,91_parliaments_fiveyear_five_term,91
92,92_broadband_superfast_rural_megabits,89
93,93_unemployment_wales_employment_ayrshire,89
94,94_young_unemployment_youth_unemployed,87
95,95_youth_young_voluntary_services,87
96,96_banks_banking_bank_regulation,87
97,97_beg_pagea_linea_amendment,86
98,98_assent_indicated_nodded_con,86
99,99_defence_armed_forces_strategic,82
100,100_mental_suicide_health_selfharm,82
101,101_sunbed_sunbeds_skin_salons,81
102,102_pedlars_bournemouth_bills_pedlar,79
103,103_trustees_organisations_social_trustee,76
104,104_saville_bloody_northern_ireland,75
105,105_church_commissioners_churches_worship,75
106,106_defence_strategic_review_security,72
107,107_elections_scottish_gould_referendum,72
108,108_planning_spatial_developers_local,72
109,109_scooters_mobility_scooter_accidents,70
110,110_seats_wales_ross_skye,69
111,111_insurance_ipt_premiums_premium,69
112,112_manufacturing_industries_industry_manufacturers,68
113,113_water_sewerage_ofwat_drainage,68
114,114_figures_figure_million_frozen,67
115,115_foreign_territories_commonwealth_overseas,65
116,116_state_give_secretary_way,65
117,117_sri_lanka_lankan_tamil,63
118,118_haiti_earthquake_rescue_caribbean,63
119,119_levy_corporation_banks_banking,62
120,120_maternity_midwives_maidstone_hospital,62
121,121_twelfth_cardy_nonairbrushed_stamina,61
122,122_cyprus_turkish_turkey_cypriots,61
123,123_falkland_falklands_islands_argentina,60
124,124_elections_ireland_northern_assembly,60
125,125_hiv_hivpositive_aids_diagnosed,59
126,126_gypsy_travellers_traveller_gypsies,58
127,127_yes_oh_trepidation_,58
128,128_welsh_greatuncle_bridlington_wales,57
129,129_give_way_friend_right,57
130,130_pakistan_floods_humanitarian_relief,56
131,131_park_owners_site_owner,55
132,132_airport_airports_security_scanners,55
133,133_redundancy_civil_servants_redundant,55
134,134_munitions_cluster_convention_weapons,55
135,135_petrol_fuel_voa_litre,55
136,136_carers_caring_care_carer,54
137,137_navy_carriers_carrier_rfa,54
138,138_olympics_olympic_games_2012,54
139,139_arrest_warrant_prosecution_extradition,54
140,140_benchers_front_bencher_bench,53
141,141_bus_fares_concessionary_operators,53
142,142_progress_give_shall_make,53
143,143_diabetes_type_insulin_disease,53
144,144_crossing_tolls_dartford_bridge,53
145,145_welfare_benefits_work_benefit,53
146,146_forecasts_forecast_obr_forecasting,52
147,147_seaside_towns_tourism_coastal,51
148,148_confidence_dissolution_dissolve_vote,50
149,149_speaker_order_mr_point,50
150,150_china_chinese_tibet_akmal,50
151,151_madam_speaker_deputy_thank,50
152,152_carriers_aircraft_carrier_navy,49
153,153_green_bank_investment_sales,49
154,154_smoking_ban_tobacco_smoke,49
155,155_rights_human_convention_european,48
156,156_tb_bovine_badger_tuberculosis,48
157,157_forgemasters_sheffield_loan_honeyman,48
158,158_iraq_christians_iraqi_kurdistan,48
159,159_fraud_sfo_scams_bribery,47
160,160_lottery_distributors_big_fund,47
161,161_parking_car_clamping_clampers,47
162,162_give_way_sorry_midsentence,47
163,163_cold_weather_winter_payments,46
164,164_pleural_plaques_asbestos_mesothelioma,46
165,165_holocaust_memorial_jewish_jews,46
166,166_torture_intelligence_guantanamo_mohamed,46
167,167_lending_banks_businesses_small,45
168,168_libel_defamation_publication_law,45
169,169_science_scientific_research_innovation,44
170,170_woodland_forestry_forest_biodiversity,44
171,171_intervention_interventions_take_okay,43
172,172_compliance_substantial_proof_232b,43
173,173_museum_wedgwood_museums_chessmen,43
174,174_castling_midperoration_poacher_spatchcocked,43
175,175_airways_ba_strike_dispute,43
176,176_blood_tissue_cord_consent,42
177,177_hepatitis_blood_infected_haemophilia,41
178,178_raf_marham_lossiemouth_moray,41
179,179_metropolitan_phone_investigation_evidence,41
180,180_tourism_leisure_daylight_tourist,40
181,181_deepwater_drilling_oil_spill,40
182,182_athan_st_training_defence,40
183,183_leeds_midlands_region_coventry,40
184,184_terrorist_freezing_terrorism_assetfreezing,39
185,185_freeze_council_tax_councils,39
186,186_mental_veterans_health_stress,39
187,187_elections_postal_referendum_vote,39
188,188_bishops_church_religious_bishop,38
189,189_games_video_relief_industry,38
190,190_polling_electoral_queues_elections,38
191,191_bribery_corruption_bribe_bill,38
192,192_clocks_daylight_hours_hour,38
193,193_colombia_colombian_human_trade,38
194,194_intervene_intervention_gentleman_gentlemans,37
195,195_burma_aung_suu_san,37
196,196_terrorism_terrorist_threat_counterterrorism,37
197,197_transport_traffic_road_bus,37
198,198_lady_give_way_right,37
199,199_veterans_personnel_armed_service,35
200,200_jubilee_diamond_festival_celebrate,35
201,201_lorries_road_charges_motoring,35
202,202_coalfield_mining_coal_coalfields,35
203,203_scrutiny_act_councils_lga,35
204,204_eurozone_euro_mechanism_currency,34
205,205_consultation_condemnation_gentleman_write,34
206,206_inequality_poverty_rich_income,33
207,207_unions_pcs_negotiations_poa,33
208,208_audit_auditors_commission_auditor,33
209,209_consultation_responses_consulted_consultations,33
210,210_thursday_commencing_tuesday_followed,33
211,211_manufacturing_sheffield_innovation_industry,33
212,212_cctv_cameras_crime_camera,32
213,213_piracy_pirates_somalia_horn,32
214,214_libraries_library_swindon_service,32
215,215_ballot_returning_counting_officer,32
216,216_gender_women_equality_gap,32
217,217_seats_constituencies_equalisation_650,32
218,218_waterways_canals_canal_british,32
219,219_temperature_temperatures_hse_maximum,32
220,220_engagements_wednesday_official_list,32
221,221_gang_gangs_knife_crime,31
222,222_aid_legal_welfare_civil,31
223,223_jobs_sector_coopers_pricewaterhouse,30
224,224_newspapers_newspaper_advertising_local,30
225,225_islanders_chagos_mauritius_chagossians,30
226,226_16_voting_age_lowering,30
227,227_helicopters_helicopter_chinooks_rescue,30
228,228_hutton_coroners_kellys_inquest,30
229,229_ashcroft_lord_ashcrofts_assurances,30
230,230_cybersecurity_cyber_security_cyberattacks,29
231,231_science_physics_research_oxford,29
232,232_internet_online_pornography_content,28
233,233_cameras_speed_camera_safety,28
234,234_rubbish_outrageous_nonsense_disgraceful,28
235,235_accounts_estimates_accountability_departments,28
236,236_meet_meeting_happy_statemented,28
237,237_malaria_tuberculosis_aids_nets,28
238,238_chairman_committee_give_select,28
239,239_boundary_boundaries_commissions_constituencies,27
240,240_credit_store_provident_loans,27
241,241_hmrc_paye_hmrcs_customs,27
242,242_beg_read_clause_second,27
243,243_methadone_drug_prison_prisons,27
244,244_kosovo_herzegovina_bosnia_serbia,27
245,245_finish_give_way_predecessor,27
246,246_give_way_gentleman_vibrations,27
247,247_miners_osteoarthritis_compensation_knee,26
248,248_procurement_efficiency_procurements_departments,26
249,249_square_pavement_parliament_demonstrators,26
250,250_s4c_channel_broadcasting_s4cs,26
251,251_junction_road_junctions_transport,26
252,252_islands_turks_caicos_tci,25
253,253_benefits_work_contributory_benefit,25
254,254_biodiversity_natural_ecosystem_ecosystems,25
255,255_turkey_turkeys_turkish_membership,25
256,256_credit_provident_loan_unions,25
257,257_war_battalion_remembrance_regiment,25
258,258_women_equality_womens_men,25
259,259_no201314_fourteen_16yearold_1949,25
260,260_learned_give_gentleman_way,25
261,261_extremism_radicalisation_violent_muslim,25
262,262_bill_œdaylight_lighter_purposewho,24
263,263_answer_œneina_question_inexperience,24
264,264_happy_happily_delighted_enjoyed,24
265,265_give_blond_point_gentleman,23
266,266_care_residential_eddisbury_home,23
267,267_pakistan_ahmadi_ahmadis_ahmadiyya,23
268,268_detention_28_28day_precharge,23
269,269_somalia_conflict_eritrea_ethiopia,23
270,270_greek_christophers_extradition_symeou,23
271,271_newport_passport_ips_office,23
272,272_nondepartmental_bodies_plans_sponsored,23
273,273_true_overdo_arent_petty,22
274,274_think_im_comfortable_myth,22
275,275_cumbria_copeland_events_shootings,22
276,276_businesses_small_representations_access,22
277,277_exchange_rate_export_depreciation,22
278,278_bar_legal_criminal_aid,22
279,279_pensions_discussions_wales_inactivity,22
280,280_scotland_scotlands_highlands_economic,22
281,281_human_rights_homophobic_brazil,22
282,282_film_films_studios_industry,22
283,283_shoreline_erosion_wightlink_coastal,22
284,284_leader_house_prime_statement,22
285,285_epilepsy_condition_seizures_nhs,21
286,286_internet_digital_copyright_creative,21
287,287_garciaa_honourable_quod_œdago,21
288,288_vote_referendum_mps_av,21
289,289_jobcentres_programme_work_claimants,21
290,290_meters_smart_prepayment_metering,21
291,291_gchq_rowley_caribbean_afrocaribbean,21
292,292_ireland_northern_arc_executive,21
293,293_arts_philanthropy_fundraising_creative,21
294,294_fco_foreign_fcos_overseas,21
295,295_speech_enjoying_yetthe_consideredperhaps,21
296,296_treaty_paragraph_european_eu,21
297,297_wages_agricultural_wage_minimum,21
298,298_china_chinese_trade_protectionism,21
299,299_agrees_beg_lords_amendment,21
300,300_briefly_hereditaments_brief_brieflyi,21
301,301_palestinian_israeli_israel_children,21
302,302_kingswood_streets_high_street,20
303,303_inquiry_inquiries_injunction_breach,20
304,304_heathrow_runway_airport_hub,20
305,305_rating_credit_agencies_triple,20
306,306_crime_survey_recorded_crimes,20
307,307_ash_volcanic_airlines_disruption,20
308,308_apologise_apology_grovelling_permanent,20
309,309_women_prison_corston_womens,20
310,310_learning_disabilities_disability_accessible,19
311,311_bae_samlesbury_systems_f35,19
312,312_dover_port_ports_embarkation,19
313,313_creditors_debts_debt_hipc,19
314,314_democrats_liberal_tomorrow_betrayal,19
315,315_wigan_rhyl_barnsley_brough,19
316,316_okay_ill_good_thats,19
317,317_prisoners_prison_prisons_vote,19
318,318_transport_questions_fatality_wear,19
319,319_foreign_italian_counterpart_secretary,19
320,320_36_claimed_closure_standing,19
321,321_prime_theresa_ragtag_questions,19
322,322_savings_million_norwich_65,18
323,323_capability_assessment_harrington_fit,18
324,324_tax_avoidance_antiavoidance_corporation,18
325,325_timeactually_onenil_time_briefly,18
326,326_rpa_farmers_payments_payment,18
327,327_southend_essex_town_pier,18
328,328_defence_mod_raf_underspend,18
329,329_say_osborne_didnt_computer,18
330,330_enterprises_forprofit_assets_social,18
331,331_lanterns_food_environment_affairs,18
332,332_awry_elucidation_gdc_fiji,18
333,333_leader_kazakhstan_bamber_house,18
334,334_leader_week_business_next,18
335,335_money_everybodythose_economicallyall_2926,18
336,336_course_cellmate_yes_polite,18
337,337_migrants_apology_australia_child,17
338,338_speech_phobicinchief_finished_theyd,17
339,339_certificate_courts_conclusive_certify,17
340,340_withdraw_beg_leave_amendment,17
341,341_renewable_energy_communities_community,17
342,342_innovation_skills_discussions_rollout,17
343,343_surgery_cardiac_paediatric_glenfield,17
344,344_schemes_highways_authorities_pool,17
345,345_scottish_elections_scotland_referendum,17
346,346_shadow_chancellor_chancellors_lacking,17
347,347_certainly_absolutely_yes_suppose,17
348,348_bournville_mutuals_voluntary_asbo,17
349,349_pledge_signed_emag_pledges,17
350,350_ipsa_expenses_mps_parliamentary,17
351,351_lobbyists_register_lobbying_clients,17
352,352_trade_unions_union_law,17
353,353_gang_injunctions_injunction_behaviour,17
354,354_inspectorate_planning_inspectors_appeal,16
355,355_sanitation_water_hygiene_aid,16
356,356_cycling_bikeability_sustainable_560,16
357,357_fuel_poverty_households_prices,16
358,358_forthcoming_leader_business_give,16
359,359_sudan_darfur_sudanese_jebel,16
360,360_lion_lions_hunting_cites,16
361,361_welsh_wales_assembly_discussions,16
362,362_nottingham_canterbury_brazier_revived,16
363,363_microfinance_loans_development_bangladesh,16
364,364_enterprises_mediumsized_venture_small,15
365,365_noise_square_amplifying_amplified,15
366,366_welsh_wales_housing_assembly,15
367,367_agree_agreethat_concur_point,15
368,368_leader_deputy_give_house,15
369,369_point_mla_proves_finger,15
370,370_assembly_northern_ireland_dual,15
371,371_representations_received_resultsbased_lenient,15
372,372_foreign_lieberman_secretary_tardiness,15
373,373_oh_go_convolute_onif,15
374,374_maib_regulation_recommendations_safety,15
375,375_pollution_horn_lane_agency,15
376,376_shadow_thruppence_subeditors_excommunicated,15
377,377_flu_pandemic_swine_vaccine,15
378,378_apologise_sorry_ps_amess,15
379,379_regional_rdas_northeast_regions,15
380,380_commissioner_caborn_complaints_code,15
381,381_missing_persons_bureau_unidentified,14
382,382_recession_conservatives_rearmament_recovery,14
383,383_holiday_furnished_lettings_letting,14
384,384_pakistan_pakistani_border_durand,14
385,385_home_give_secretary_way,14
386,386_flexible_working_request_employees,14
387,387_localism_absolutist_local_authorities,14
388,388_recall_wrongdoing_grandees_recalled,14
389,389_vehicle_blast_counteried_vshaped,14
390,390_universal_credit_households_workless,14
391,391_hear_lets_cant_truth,14
392,392_whips_diaries_1931_stillin,14
393,393_adverts_images_retouching_image,14
394,394_korea_koreas_korean_north,14
395,395_name_wow_magisterial_gerundive,14
396,396_music_venues_live_licensing,14
397,397_amendments_amendment_consequential_clause,14
398,398_victims_homicide_bereaved_victim,14
399,399_fortnum_curat_lex_gentlemans,14
400,400_eu_intergovernmentalism_european_pillars,14
401,401_bill_hayes_flaws_contains,13
402,402_minus_incomes_income_charts,13
403,403_energy_nuclear_power_consumption,13
404,404_obr_forecast_employment_unemployment,13
405,405_cheque_cheques_payments_2018,13
406,406_civil_unions_compensation_scheme,13
407,407_welsh_wales_davids_islwyn,13
408,408_tyres_winter_tyre_snow,13
409,409_beg_sit_move_private,13
