topic_id,topic_name,coherence_score,size,top_words,word_weights
-1,-1_hon_right_house_bill,0.0,444823,"hon, right, house, bill, friend, gentleman, would, member, think, government","0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000"
0,0_scottish_scotland_snp_scotlands,0.7891120731715765,11241,"scottish, scotland, snp, scotlands, devolution, independence, referendum, devolved, kingdom, powers","0.009, 0.007, 0.006, 0.004, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002"
1,1_speaker_order_madam_deputy,0.5434976427105318,5869,"speaker, order, madam, deputy, mr, point, advise, statement, motion, house","0.013, 0.012, 0.006, 0.006, 0.005, 0.003, 0.003, 0.002, 0.002, 0.002"
2,2_pension_pensions_retirement_pensioners,0.7970502922319582,5765,"pension, pensions, retirement, pensioners, age, autoenrolment, schemes, waspi, cpi, women","0.016, 0.010, 0.007, 0.006, 0.004, 0.004, 0.003, 0.003, 0.003, 0.003"
3,3_students_universities_university_student,0.8529672531678607,4693,"students, universities, university, student, colleges, fees, tuition, higher, college, education","0.014, 0.013, 0.009, 0.009, 0.007, 0.006, 0.006, 0.004, 0.004, 0.004"
4,4_police_policing_officers_crime,0.8719696649187789,4194,"police, policing, officers, crime, constable, constables, neighbourhood, pcsos, frontline, commissioners","0.011, 0.010, 0.008, 0.006, 0.005, 0.004, 0.003, 0.003, 0.003, 0.003"
5,5_israel_gaza_palestinian_israeli,0.9766835515052164,3920,"israel, gaza, palestinian, israeli, palestinians, hamas, palestine, israelis, twostate, peace","0.021, 0.019, 0.019, 0.017, 0.013, 0.011, 0.009, 0.009, 0.008, 0.008"
6,6_airport_airports_heathrow_aviation,0.9396370041049705,3091,"airport, airports, heathrow, aviation, runway, flights, apd, noise, gatwick, airlines","0.017, 0.017, 0.017, 0.014, 0.010, 0.009, 0.008, 0.008, 0.008, 0.007"
7,7_avoidance_tax_50p_evasion,0.8318319680751873,3063,"avoidance, tax, 50p, evasion, rate, corporation, taxes, income, revenue, hmrc","0.014, 0.014, 0.009, 0.008, 0.006, 0.006, 0.006, 0.005, 0.004, 0.004"
8,8_welsh_wales_assembly_silk,0.8339959316409074,3030,"welsh, wales, assembly, silk, devolution, s4c, cymru, language, plaid, cardiff","0.016, 0.011, 0.007, 0.005, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003"
9,9_broadband_superfast_bt_coverage,0.9238441950205022,2926,"broadband, superfast, bt, coverage, mobile, fibre, megabits, speeds, rural, rollout","0.032, 0.019, 0.012, 0.010, 0.010, 0.009, 0.008, 0.008, 0.007, 0.006"
10,10_unemployment_youth_unemployed_employment,0.7049298465692401,2922,"unemployment, youth, unemployed, employment, jobs, young, claimant, fallen, longterm, count","0.028, 0.016, 0.008, 0.005, 0.005, 0.005, 0.004, 0.004, 0.004, 0.004"
11,11_rail_trains_franchise_passengers,0.9269477627637013,2897,"rail, trains, franchise, passengers, train, railways, network, railway, coast, fares","0.011, 0.010, 0.009, 0.008, 0.007, 0.006, 0.006, 0.005, 0.005, 0.005"
12,12_fishing_fisheries_fish_fishermen,0.96789270788208,2864,"fishing, fisheries, fish, fishermen, quota, stocks, waters, cfp, discards, fleet","0.023, 0.019, 0.017, 0.017, 0.009, 0.008, 0.007, 0.007, 0.006, 0.006"
13,13_fire_firefighters_grenfell_cladding,0.9132627673717147,2604,"fire, firefighters, grenfell, cladding, rescue, tower, sprinklers, fires, blocks, buildings","0.027, 0.012, 0.012, 0.010, 0.009, 0.008, 0.008, 0.006, 0.006, 0.005"
14,14_give_way_minister_bellshilla,0.23529460969202856,2472,"give, way, minister, bellshilla, ministeroh, pope, œerskine, maya, chryston, coatbridge","0.071, 0.045, 0.027, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001"
15,15_mental_health_illness_camhs,0.7551381701892895,2389,"mental, health, illness, camhs, parity, stigma, mindfulness, psychosis, esteem, adolescent","0.021, 0.007, 0.004, 0.004, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003"
16,16_universal_credit_rollout_claimants,0.8192820531720532,2125,"universal, credit, rollout, claimants, rolled, arrears, jobcentres, jobcentre, benefits, payment","0.030, 0.021, 0.009, 0.008, 0.004, 0.004, 0.004, 0.004, 0.003, 0.003"
17,17_cycling_cyclists_drivers_road,0.7776482717272291,2055,"cycling, cyclists, drivers, road, taxi, cycle, hire, mph, roads, safety","0.021, 0.010, 0.010, 0.008, 0.007, 0.007, 0.006, 0.006, 0.006, 0.005"
18,18_cancer_breast_cancers_survival,0.9249878206688337,1970,"cancer, breast, cancers, survival, pancreatic, radiotherapy, diagnosis, brain, screening, diagnosed","0.032, 0.012, 0.011, 0.010, 0.009, 0.009, 0.009, 0.007, 0.006, 0.006"
19,19_prison_prisons_prisoners_hmp,0.8883222579681036,1951,"prison, prisons, prisoners, hmp, officers, governors, reoffending, assaults, rehabilitation, prisoner","0.028, 0.028, 0.016, 0.008, 0.007, 0.007, 0.005, 0.004, 0.004, 0.004"
